Track Name,Artist(s),Album,Release Date,Duration (ms),Spotify URL
DO IT TO IT (feat. Dsnt Matter),"Aryue, Raven & Kreyn, Parah Dice, Dsnt Matter",DO IT TO IT (feat. Dsnt Matter),2021-11-26,178057,https://open.spotify.com/track/4MdZkudMwETtvGqf0ZwIKW
HISS,Megan Thee Stallion,HISS,2024-01-26,192818,https://open.spotify.com/track/79AHPJd8upvNxyK2qQcY8J
NASTY,Russ,NASTY,2023-03-17,116407,https://open.spotify.com/track/0DuylJNqsvjRN9hhWUdeJZ
Have Mercy,Chlöe,Have Mercy,2021-09-10,148778,https://open.spotify.com/track/5SixeLvPsYpk7qq9lo5xYg
Tempo (feat. Missy Elliott),"Lizzo, Missy Elliott",Tempo (feat. Missy Elliott),2019-03-20,175342,https://open.spotify.com/track/4LRKHjC3WH5AKZSGZzlnGk
MILLION DOLLAR BABY,Tommy Richman,MILLION DOLLAR BABY,2024-04-26,155151,https://open.spotify.com/track/7fzHQizxTqy8wTXwlrgPQQ
Monster,"Kanye West, JAY-Z, Rick Ross, Nicki Minaj, Bon Iver",My Beautiful Dark Twisted Fantasy,2010-11-22,378893,https://open.spotify.com/track/1ZHYJ2Wwgxes4m8Ba88PeK
CARNIVAL,"¥$, Kanye West, Ty Dolla $ign, Rich The Kid, Playboi Carti",VULTURES 1,2024-02-09,264324,https://open.spotify.com/track/3w0w2T288dec0mgeZZqoNN
Man In Finance (G6 Trust Fund),"Girl On Couch, Billen Ted",Man In Finance (G6 Trust Fund),2024-05-17,151405,https://open.spotify.com/track/5zuPzhnGl0DRRWmquMi2MP
Savage Remix (feat. Beyoncé),"Megan Thee Stallion, Beyoncé",Savage Remix (feat. Beyoncé),2020-04-29,242000,https://open.spotify.com/track/5v4GgrXPMghOnBBLmveLac
i like the way you kiss me,Artemas,i like the way you kiss me,2024-03-19,142514,https://open.spotify.com/track/2GxrNKugF82CnoRFbQfzPf
Lovin On Me,Jack Harlow,Lovin On Me,2023-11-10,138411,https://open.spotify.com/track/4xhsWYTOGcal8zt0J161CU
Nasty,Tinashe,Nasty,2024-04-12,176027,https://open.spotify.com/track/6NjWCIYu1W8xa3HIvcIhd4
HOT TO GO!,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,184841,https://open.spotify.com/track/4xdBrk0nFZaP54vvZj0yx7
Mamushi (feat. Yuki Chiba),"Megan Thee Stallion, 千葉雄喜",MEGAN,2024-06-28,156988,https://open.spotify.com/track/5b3XJ1pjrHO5JtY2PcTjnI
"Good Luck, Babe!",Chappell Roan,"Good Luck, Babe!",2024-04-05,218423,https://open.spotify.com/track/0WbMK4wrZ1wFSty9F7FCgu
Make It Rain,Travis Porter,From Day 1,2012-05-28,239493,https://open.spotify.com/track/50p9gmJMwsz3zyAwoF0FEv
Money,Cardi B,Money,2018-10-23,183527,https://open.spotify.com/track/2GGMabyHXnJmjY6CXhhB2e
Super Freaky Girl,Nicki Minaj,Queen Radio: Volume 1,2022-08-26,170977,https://open.spotify.com/track/2yjlYDiNiQkdxVqTlaSrlX
Twerk (feat. Cardi B),"City Girls, Cardi B",Girl Code,2018-11-16,166476,https://open.spotify.com/track/0RRm4OS5ymfZryXBuj0G2m
Femininomenon,Chappell Roan,The Rise and Fall of a Midwest Princess,2023-09-22,219710,https://open.spotify.com/track/53IRnAWx13PYmoVYtemUBS
Body,Megan Thee Stallion,Good News,2020-11-20,171067,https://open.spotify.com/track/0A1hoCfMLkiAgvhWkkucJa
Get Low,"Lil Jon & The East Side Boyz, Ying Yang Twins",Kings Of Crunk,2002-10-29,334066,https://open.spotify.com/track/0r2Bul2NuCViraT2zX1l5j
if u think i'm pretty,Artemas,if u think i'm pretty,2023-10-24,128205,https://open.spotify.com/track/34Yl756FwYuZldE9xnshj5
The New Workout Plan,Kanye West,The College Dropout,2004-02-13,322800,https://open.spotify.com/track/0fDf7lTJ6A6uzGWUEJHcCq
Shabooya,"Hitkidd, Gloss Up, K Carbon, Slimeroni, Aleza",Shabooya,2022-09-30,178733,https://open.spotify.com/track/6PphODv2LB2b9BWK9lhWuY
HUMBLE.,Kendrick Lamar,DAMN.,2017-04-14,177000,https://open.spotify.com/track/7KXjTSCq5nL1LoYtL7XAwS
Pretty Girls Walk (with Coi Leray) - Remix,"Big Boss Vette, Coi Leray",Pretty Girls Walk (Remix),2023-03-01,140053,https://open.spotify.com/track/2g9dhCaJiK7D0FOgZ9vJlR
Eyes. Lips. Face.,"iLL Wayno, Holla FyeSixWun",Eyes. Lips. Face.,2019-10-08,139500,https://open.spotify.com/track/5sGb7vB83MhpdZsx1tEIYH
Pour It Up,Rihanna,Unapologetic (Deluxe),2012-12-11,161200,https://open.spotify.com/track/76VtA90NKurNqaQpV126Ue
Act Up,City Girls,Girl Code,2018-11-16,158332,https://open.spotify.com/track/3A2yGHWIzmGEIolwonU69h
Doin Too Much,Kash Doll,Stacked,2019-10-18,149092,https://open.spotify.com/track/3O2gpEXz5HZ5uTxeeRE1M1
Look At Me Now,"Chris Brown, Lil Wayne, Busta Rhymes",Look At Me Now,2011-02-01,223933,https://open.spotify.com/track/7EKTo6rVJ3XSS7QTd6ep2j
Toxic - Y2K & Alexander Lewis Remix,"Britney Spears, Y2K, Alexander Lewis",Toxic (Y2K & Alexander Lewis Remix),2020-01-31,106329,https://open.spotify.com/track/48C9sYkAOavqzFn77bxGR3
Live My Life,"Far East Movement, Justin Bieber",Dirty Bass,2012-01-01,237106,https://open.spotify.com/track/5MWx5bkuRauFJenpG1w5wt
If I Was You (OMG),"Far East Movement, Snoop Dogg",Free Wired,2010-01-01,205773,https://open.spotify.com/track/6gmMnYOfiYmj5xAFDrgkfF
Candy,"Far East Movement, Pitbull",Dirty Bass,2012-01-01,238493,https://open.spotify.com/track/30HOqyt81BGQyPvJGHZprz
Fly With U,"Far East Movement, Cassie",Dirty Bass,2012-01-01,210613,https://open.spotify.com/track/7mFUdtl55CxPIlO1VmRgVs
"Taki Taki (with Selena Gomez, Ozuna & Cardi B)","DJ Snake, Selena Gomez, Ozuna, Cardi B","Taki Taki (with Selena Gomez, Ozuna & Cardi B)",2018-09-28,212500,https://open.spotify.com/track/4w8niZpiMy6qz1mntFA5uM
Promises (with Sam Smith),"Calvin Harris, Sam Smith, Jessie Reyez",Promises (with Sam Smith),2018-08-17,213309,https://open.spotify.com/track/5N5k9nd479b1xpDZ4usjrg
My Way,Queen Key,Eat My Pussy,2018-06-01,144660,https://open.spotify.com/track/0ChBY4SDZOrsfRCRiXAVXz
Twerk (feat. Cardi B),"City Girls, Cardi B",Girl Code,2018-11-16,166476,https://open.spotify.com/track/4DyBx5MYoq8RsU33cEAIxT
Birthday Bitch,Trap Beckham,Birthday Bitch,2016-06-03,197466,https://open.spotify.com/track/4ZFtNZuzzdHjYKARA8TEh2
Once Upon a Time,Mariahlynn,Once Upon a Time,2015-02-19,156000,https://open.spotify.com/track/3OGuiEDR8XXjaWqbOaVqUA
SICKO MODE,Travis Scott,ASTROWORLD,2018-08-03,312820,https://open.spotify.com/track/2xLMifQCjDGFmkHkpNLD9h
Is Your Love Enough?,Little Mix,Glory Days: The Platinum Edition,2017-11-24,224600,https://open.spotify.com/track/6W6ijKiufUsBBcgJPKis6T
Touch (feat. Kid Ink),"Little Mix, Kid Ink",Glory Days: The Platinum Edition,2017-11-24,202946,https://open.spotify.com/track/1lajonKp1KMdiu86QjEoG7
"I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)","benny blanco, Selena Gomez, J Balvin, Tainy","I Can’t Get Enough (benny blanco, Selena Gomez, J Balvin, Tainy)",2019-02-28,158027,https://open.spotify.com/track/1WSGTYKLEpKfNQYYW5Oymt
Paint The Town Red,Doja Cat,Paint The Town Red,2023-08-04,231750,https://open.spotify.com/track/2IGMVunIBsBLtEQyoI1Mu7
23,"Mike WiLL Made-It, Miley Cyrus, Wiz Khalifa, Juicy J",23,2013-01-01,252520,https://open.spotify.com/track/20FZrLl9zSbO9b3DhaqO6M
Dance (A$$) Remix,"Big Sean, Nicki Minaj",Finally Famous,2011-01-01,220293,https://open.spotify.com/track/3ZAMtgYJFoHwJjFkhkXqKr
Throw Sum Mo,"Rae Sremmurd, Nicki Minaj, Young Thug",SremmLife,2015-01-06,260453,https://open.spotify.com/track/5uqphUYsR45kPYplrYSAQh
2 Be Loved (Am I Ready),Lizzo,Special,2022-07-14,187107,https://open.spotify.com/track/13Irp51zj01BZu2XtDrnAg
Somebody,Memphis May Fire,Remade In Misery,2022-06-03,200000,https://open.spotify.com/track/3XW8sR4GdXHOUF4MAm5Bkb
Enemy,Melrose Avenue,Enemy,2022-10-21,184587,https://open.spotify.com/track/7lqcFJeWQmJ74lj7095GIa
Whoopty,CJ,Whoopty,2020-08-20,123262,https://open.spotify.com/track/5vGLcdRuSbUhD8ScwsGSdA
the light is coming (feat. Nicki Minaj),"Ariana Grande, Nicki Minaj",Sweetener,2018-08-17,228373,https://open.spotify.com/track/0sdbFOyfgAhAhWq8DpzkaW
Barbie Tingz,Nicki Minaj,Barbie Tingz,2018-04-12,191699,https://open.spotify.com/track/2qsQ8eVDPmobZpvDxQCVQu
7/11,Beyoncé,BEYONCÉ [Platinum Edition],2014-11-24,213506,https://open.spotify.com/track/02M6vucOvmRfMxTXDUwRXu
Birthday Cake,Rihanna,Talk That Talk (Deluxe),2012-07-18,78200,https://open.spotify.com/track/77kF7rF7ikC5OcZHVXN76X
Tia Tamera (feat. Rico Nasty),"Doja Cat, Rico Nasty",Amala (Deluxe Version),2019-03-01,211013,https://open.spotify.com/track/1uNePI826aqh9uC9pgbeHU
Wolves - MOTi Remix,"Selena Gomez, Marshmello, MOTi",Wolves (MOTi Remix),2018-02-23,184761,https://open.spotify.com/track/7471s4m02axg6ZtBzBzy22
